# ran on: 2022-08-08
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# Ms = 1375.83 kA/m
# Mr/Ms = 0.2803
# J1 = 2.6907 +/- 0.0037 mJ/m^2
# J2 = 1.6889 +/- 0.0038 mJ/m^2
# A = 3.0000 +/- 0.0361 * 10 pJ/m
# theta from data = 147.44 degrees
# theta from model = 120.00 degrees
# average theta = 133.72 degrees
# measured saturation field = 3.030 T
# model saturation field = 2.950 T
# red chisq = 6.733 +/- 0.054
# standard deviation = 0.001411
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
2.410000000000000142e+00,1.343037434449391387e+00,1.336821182233834504e+00,6.216252215556790535e-03
2.419999999999999929e+00,1.339733070162929751e+00,1.337684360839288100e+00,2.048709323641538169e-03
2.430000000000000160e+00,1.343937269749904129e+00,1.338541483653045372e+00,5.395786096858894675e-03
2.439999999999999947e+00,1.344662925621501692e+00,1.339392603768051693e+00,5.270321853449875561e-03
2.450000000000000178e+00,1.345727951611672246e+00,1.340237773588603964e+00,5.490178023068155097e-03
2.459999999999999964e+00,1.344629493095937711e+00,1.341077044955922393e+00,3.552448140015220922e-03
2.470000000000000195e+00,1.343021979402343025e+00,1.341910469155893626e+00,1.111510246449461548e-03
2.479999999999999982e+00,1.344426375511087013e+00,1.342738096926868518e+00,1.688278584218605655e-03
2.490000000000000213e+00,1.351769748694865436e+00,1.343559978467399052e+00,8.209770227466490003e-03
2.500000000000000000e+00,1.346810955080358418e+00,1.344376163443931738e+00,2.434791636426774080e-03
2.509999999999999787e+00,1.346985134509274040e+00,1.345186700998464824e+00,1.798433510809261749e-03
2.520000000000000018e+00,1.349110692119986465e+00,1.345991639756194180e+00,3.119052363792212696e-03
2.529999999999999805e+00,1.351914989967845981e+00,1.346791027833161181e+00,5.123962134684791232e-03
2.540000000000000036e+00,1.350010527420499651e+00,1.347584912843935001e+00,2.425614576564723030e-03
2.549999999999999822e+00,1.351075553410670205e+00,1.348373341909349543e+00,2.702211501320730958e-03
